EventID,Layer,Wire,t,ADC,t0,isSignal
198,0,22,1442.62,128,0,0
229,0,22,1099.31,84,0,0
321,0,22,595.5,261,0,0
377,0,22,593.625,172,0,0
400,0,22,1886.62,366,0,0
421,0,22,404.812,82,0,0
1701133,0,22,1696.12,418,0,0
1701241,0,22,1797,1892,0,0
1701280,0,22,854.438,350,0,0
1701386,0,22,243.938,452,0,0
1701424,0,22,973.875,356,0,0
1701455,0,22,1599.94,262,0,0
3325496,0,22,747.75,535,0,0
3325523,0,22,1873.88,195,0,0
89,0,23,231.938,868,0,0
145,0,23,1668.94,1753,0,0
198,0,23,1314.94,490,0,0
321,0,23,759.188,352,0,0
1701104,0,23,453.188,318,0,0
1701133,0,23,1610.44,591,0,0
1701241,0,23,1744.31,616,0,0
1701280,0,23,748.688,431,0,0
1701382,0,23,1410.75,299,0,0
1701386,0,23,447.375,318,0,0
1701424,0,23,946.875,1142,0,0
1701455,0,23,1662.56,497,0,0
3325523,0,23,1692.38,2102,0,0
3325569,0,23,932.812,103,0,0
19,0,24,194.625,433,0,0
57,0,24,74.25,1190,0,0
89,0,24,256.312,1268,0,0
145,0,24,1580.62,2621,0,0
349,0,24,1542.38,357,0,0
360,0,24,549.188,110,0,0
421,0,24,477.75,116,0,0
1701104,0,24,164.062,431,0,0
1701133,0,24,1603.12,213,0,0
1701241,0,24,1745.44,1556,0,0
1701290,0,24,1694.81,638,0,0
1701382,0,24,1674.19,345,0,0
1701424,0,24,952.5,584,0,0
3325523,0,24,1815,1289,0,0
19,0,25,141.938,357,0,0
89,0,25,224.812,1793,0,0
145,0,25,1651.69,807,0,0
238,0,25,141.938,118,0,0
421,0,25,1798.88,894,0,0
1701104,0,25,498.375,274,0,0
1701133,0,25,1033.88,556,0,0
1701241,0,25,1728.38,742,0,0
1701290,0,25,1651.88,1475,0,0
1701382,0,25,1377.56,1181,0,0
1701424,0,25,1026.94,277,0,0
19,0,26,197.438,364,0,0
89,0,26,260.062,1899,0,0
238,0,26,285.75,983,0,0
270,0,26,1920.94,322,0,0
421,0,26,381.75,1152,0,0
1701104,0,26,407.25,300,0,0
1701133,0,26,887.062,201,0,0
1701241,0,26,1782.94,499,0,0
1701290,0,26,1586.06,1841,0,0
1701382,0,26,1620.19,145,0,0
1701442,0,26,734.25,1622,0,0
3325550,0,26,410.438,768,0,0
145,0,27,1576.88,249,0,0
238,0,27,170.625,654,0,0
349,0,27,1529.44,313,0,0
421,0,27,1801.69,848,0,0
436,0,27,878.625,5709,0,0
1701104,0,27,527.812,3027,0,0
1701133,0,27,863.438,125,0,0
1701290,0,27,1600.12,919,0,0
1701382,0,27,1338,1121,0,0
1701442,0,27,807.375,2437,0,0
3325550,0,27,408.938,1310,0,0
3325569,0,27,747.562,790,0,0
421,0,28,1826.44,424,0,0
1701104,0,28,423.375,1773,0,0
1701133,0,28,976.5,167,0,0
1701252,0,28,1410.94,260,0,0
1701290,0,28,1677,103,0,0
1701442,0,28,763.5,2296,0,0
1701455,0,28,752.812,761,0,0
3325523,0,28,1580.25,412,0,0
3325550,0,28,432.375,2479,0,0
145,0,29,1627.88,228,0,0
229,0,29,1843.69,128,0,0
436,0,29,790.5,134,0,0
1701252,0,29,1528.88,89,0,0
1701290,0,29,1534.88,180,0,0
1701442,0,29,861.188,7699,0,0
1701455,0,29,692.625,630,0,0
3325443,0,29,1486.88,215,0,0
3325550,0,29,436.875,1500,0,0
229,0,30,1868.44,118,0,0
315,0,30,1263.75,240,0,0
1701455,0,30,686.438,639,0,0
3325550,0,30,409.688,557,0,0
19,0,31,1050.75,647,0,0
89,0,31,158.25,972,0,0
229,0,31,1811.62,3274,0,0
321,0,31,676.875,600,0,0
315,0,31,1426.5,382,0,0
333,0,31,1671.56,210,0,0
1701290,0,31,1253.06,457,0,0
19,0,32,1035.38,1273,0,0
89,0,32,558.562,348,0,0
229,0,32,150.75,2604,0,0
321,0,32,653.062,407,0,0
341,0,32,1436.62,236,0,0
421,0,32,302.062,463,0,0
1701182,0,32,803.438,302,0,0
1701290,0,32,1251.56,506,0,0
19,0,33,1034.06,1627,0,0
341,0,33,1312.31,198,0,0
389,0,33,353.625,452,0,0
421,0,33,315.188,2595,0,0
451,0,33,313.125,87,0,0
1701182,0,33,533.062,329,0,0
1701290,0,33,1314.75,352,0,0
3325435,0,33,1450.69,127,0,0
3325626,0,33,1205.81,180,0,0
19,0,34,1037.81,1666,0,0
198,0,34,1225.12,130,0,0
389,0,34,305.812,1300,0,0
421,0,34,286.875,2820,0,0
451,0,34,743.625,136,0,0
1701182,0,34,557.062,263,0,0
1701252,0,34,1361.44,512,0,0
164,0,35,756.75,230,0,0
198,0,35,1271.06,172,0,0
389,0,35,330,1550,0,0
421,0,35,283.5,2513,0,0
451,0,35,845.625,212,0,0
1701133,0,35,1609.31,96,0,0
164,0,36,766.5,298,0,0
333,0,36,1689.19,196,0,0
389,0,36,333.938,2205,0,0
421,0,36,316.312,585,0,0
451,0,36,137.812,2279,0,0
46,0,37,646.875,99,0,0
164,0,37,763.688,263,0,0
245,0,37,1390.31,110,0,0
333,0,37,1744.12,134,0,0
389,0,37,389.625,1123,0,0
1701182,0,37,738.188,99,0,0
1701187,0,37,227.25,103,0,0
3325647,0,37,691.312,376,0,0
164,0,38,474.75,294,0,0
1701280,0,38,1664.81,146,0,0
3325647,0,38,1047.75,207,0,0
46,0,39,510,200,0,0
164,0,39,615.75,256,0,0
341,0,39,1330.88,180,0,0
349,0,39,895.312,307,0,0
400,0,39,1921.31,949,0,0
444,0,39,156.938,108,0,0
1701290,0,39,1485.94,319,0,0
3325489,0,39,1718.44,145,0,0
3325647,0,39,1386,223,0,0
46,1,0,423.938,505,0,0
89,1,0,856.125,113,0,0
176,1,0,1093.88,128,0,0
212,1,0,86.8125,243,0,0
341,1,0,375,1213,0,0
400,1,0,376.125,584,0,0
444,1,0,343.125,317,0,0
451,1,0,326.062,2672,0,0
1701187,1,0,180.188,196,0,0
1701280,1,0,1552.88,483,0,0
12,1,1,447,81,0,0
37,1,1,63.5625,102,0,0
57,1,1,1718.44,85,0,0
89,1,1,951.938,81,0,0
341,1,1,423.75,1752,0,0
349,1,1,802.312,419,0,0
444,1,1,171.375,286,0,0
451,1,1,375.188,2816,0,0
1701152,1,1,1909.5,315,0,0
3325489,1,1,1747.5,262,0,0
3325508,1,1,421.5,81,0,0
3325589,1,1,1560.94,215,0,0
3325692,1,1,878.625,82,0,0
176,1,2,1189.88,140,0,0
349,1,2,898.5,176,0,0
444,1,2,372.75,707,0,0
451,1,2,1763.44,644,0,0
3325508,1,2,442.312,111,0,0
3325647,1,2,778.5,560,0,0
349,1,3,876.938,1064,0,0
421,1,3,415.312,218,0,0
444,1,3,150.75,202,0,0
1701152,1,3,1880.81,192,0,0
1701280,1,3,895.875,427,0,0
349,1,4,820.5,615,0,0
1701280,1,4,760.312,1366,0,0
270,1,5,1869.19,224,0,0
349,1,5,817.125,235,0,0
1701100,1,5,1388.62,785,0,0
1701187,1,5,53.625,149,0,0
1701280,1,5,766.5,1472,0,0
1701348,1,5,278.25,275,0,0
3325422,1,5,1581.75,288,0,0
349,1,6,847.688,288,0,0
1701100,1,6,1446.38,707,0,0
1701187,1,6,51,241,0,0
1701280,1,6,752.25,1613,0,0
1701348,1,6,424.688,233,0,0
3325422,1,6,1499.06,236,0,0
1701100,1,7,1425.75,811,0,0
1701280,1,7,779.625,1514,0,0
1701100,1,8,1389.56,942,0,0
1701280,1,8,796.5,340,0,0
1701348,1,8,518.812,102,0,0
315,1,9,741.562,264,0,0
1701090,1,9,402.938,89,0,0
1701348,1,9,297.75,521,0,0
1701424,1,9,177,622,0,0
315,1,10,233.812,87,0,0
349,1,10,686.812,1324,0,0
1701348,1,10,275.625,654,0,0
1701424,1,10,305.25,382,0,0
19,1,11,1342.12,104,0,0
176,1,11,141,109,0,0
198,1,11,478.688,127,0,0
280,1,11,1243.12,2906,0,0
349,1,11,686.812,198,0,0
1701090,1,11,116.438,105,0,0
1701348,1,11,367.875,314,0,0
1701359,1,11,1581.19,84,0,0
1701424,1,11,157.5,9553,0,0
3325508,1,11,68.4375,108,0,0
3325647,1,11,664.312,425,0,0
19,1,12,47.4375,156,0,0
57,1,12,1045.31,109,0,0
176,1,12,1910.25,156,0,0
263,1,12,797.625,510,0,0
280,1,12,1241.25,7277,0,0
389,1,12,1524.19,4299,0,0
1701424,1,12,205.5,5054,0,0
3325422,1,12,1527.38,234,0,0
3325562,1,12,1189.5,148,0,0
3325695,1,12,583.312,112,0,0
263,1,13,732.938,1049,0,0
389,1,13,1524.94,653,0,0
1701424,1,13,210,960,0,0
3325422,1,13,1476.94,925,0,0
3325695,1,13,376.312,5586,0,0
176,1,14,470.25,98,0,0
189,1,14,1353.56,212,0,0
263,1,14,566.25,555,0,0
270,1,14,1833.19,302,0,0
1701386,1,14,1303.12,968,0,0
1701393,1,14,1886.81,83,0,0
1701424,1,14,208.875,877,0,0
3325662,1,14,1851.94,357,0,0
3325695,1,14,386.25,7934,0,0
46,1,15,659.438,138,0,0
57,1,15,110.625,84,0,0
89,1,15,782.438,103,0,0
176,1,15,850.875,127,0,0
189,1,15,590.812,917,0,0
198,1,15,256.688,112,0,0
202,1,15,204.938,2188,0,0
263,1,15,718.5,518,0,0
280,1,15,1285.12,736,0,0
315,1,15,1306.31,603,0,0
1701386,1,15,1296.19,1424,0,0
1701431,1,15,545.812,1428,0,0
3325435,1,15,710.25,124,0,0
3325662,1,15,1861.31,107,0,0
3325695,1,15,1068.19,267,0,0
19,1,16,423.938,323,0,0
176,1,16,133.688,94,0,0
189,1,16,1295.25,624,0,0
263,1,16,981.375,171,0,0
280,1,16,1262.44,450,0,0
1701386,1,16,1305,1513,0,0
1701442,1,16,779.062,222,0,0
1701431,1,16,493.312,1473,0,0
3325496,1,16,764.625,323,0,0
19,1,17,301.5,114,0,0
176,1,17,830.625,98,0,0
189,1,17,1285.5,2084,0,0
202,1,17,1931.81,5711,0,0
285,1,17,398.812,215,0,0
1701386,1,17,1302.75,944,0,0
1701442,1,17,707.25,4586,0,0
1701431,1,17,520.125,1604,0,0
3325662,1,17,1885.31,591,0,0
164,1,18,686.625,280,0,0
176,1,18,38.8125,173,0,0
189,1,18,230.625,553,0,0
263,1,18,374.812,282,0,0
280,1,18,541.125,233,0,0
291,1,18,104.812,1833,0,0
285,1,18,255.375,175,0,0
400,1,18,758.062,92,0,0
1701386,1,18,1494.38,190,0,0
1701424,1,18,949.125,445,0,0
1701442,1,18,373.688,1836,0,0
1701431,1,18,301.5,4108,0,0
3325496,1,18,733.875,168,0,0
3325662,1,18,1940.06,604,0,0
19,1,19,733.688,219,0,0
107,1,19,806.438,112,0,0
176,1,19,38.0625,109,0,0
189,1,19,636.938,1291,0,0
198,1,19,685.875,95,0,0
263,1,19,371.625,250,0,0
1701406,1,19,1119.75,131,0,0
1701442,1,19,373.5,2347,0,0
1701431,1,19,512.25,6360,0,0
3325489,1,19,1820.62,341,0,0
3325496,1,19,808.125,253,0,0
3325562,1,19,1550.81,155,0,0
3325662,1,19,1527.75,605,0,0
3325692,1,19,1502.81,105,0,0
137,1,20,1918.5,82,0,0
189,1,20,1342.12,475,0,0
198,1,20,1315.5,278,0,0
238,1,20,152.25,156,0,0
302,1,20,682.125,781,0,0
1701442,1,20,722.25,1665,0,0
1701431,1,20,626.062,2849,0,0
3325496,1,20,724.688,1223,0,0
3325562,1,20,1143.19,203,0,0
113,1,21,1144.5,263,0,0
189,1,21,1310.25,278,0,0
198,1,21,1303.88,4110,0,0
238,1,21,130.125,611,0,0
291,1,21,537.188,817,0,0
302,1,21,661.125,770,0,0
377,1,21,176.625,761,0,0
1701442,1,21,837.938,97,0,0
1701431,1,21,553.5,3256,0,0
3325489,1,21,1828.5,370,0,0
3325496,1,21,723.75,782,0,0
3325523,1,21,1564.31,455,0,0
57,1,22,89.8125,253,0,0
89,1,22,154.5,297,0,0
113,1,22,1157.62,264,0,0
198,1,22,1309.31,1714,0,0
238,1,22,18.5625,742,0,0
291,1,22,321.188,262,0,0
302,1,22,835.312,314,0,0
377,1,22,732.562,1691,0,0
400,1,22,1836.75,3244,0,0
1701104,1,22,392.25,974,0,0
1701108,1,22,846.562,1669,0,0
1701290,1,22,1388.06,510,0,0
1701424,1,22,1072.5,213,0,0
3325489,1,22,1689.94,546,0,0
3325496,1,22,748.312,442,0,0
57,1,23,505.5,838,0,0
89,1,23,296.812,308,0,0
113,1,23,1243.31,423,0,0
198,1,23,1384.12,346,0,0
238,1,23,55.5,708,0,0
421,1,23,511.688,142,0,0
1701108,1,23,862.125,1358,0,0
1701290,1,23,1363.5,677,0,0
1701424,1,23,1077.94,138,0,0
3325489,1,23,1716.38,299,0,0
3325496,1,23,771.938,1193,0,0
57,1,24,215.25,281,0,0
89,1,24,203.812,269,0,0
113,1,24,157.875,381,0,0
145,1,24,1595.25,559,0,0
198,1,24,732.938,171,0,0
238,1,24,277.312,127,0,0
291,1,24,442.875,271,0,0
421,1,24,304.875,834,0,0
451,1,24,1903.12,222,0,0
1701108,1,24,799.875,3189,0,0
1701187,1,24,30.75,1128,0,0
1701241,1,24,1784.44,824,0,0
3325435,1,24,663.375,84,0,0
3325489,1,24,1774.69,354,0,0
57,1,25,128.812,270,0,0
89,1,25,415.5,201,0,0
113,1,25,1126.31,350,0,0
212,1,25,838.5,210,0,0
291,1,25,526.5,268,0,0
341,1,25,587.062,165,0,0
360,1,25,718.688,88,0,0
400,1,25,1770.38,358,0,0
421,1,25,296.062,406,0,0
1701187,1,25,29.8125,874,0,0
1701241,1,25,505.125,1594,0,0
1701406,1,25,1548,142,0,0
1701424,1,25,944.25,191,0,0
1701442,1,25,778.312,121,0,0
3325523,1,25,1647.19,7871,0,0
19,1,26,79.875,288,0,0
57,1,26,131.25,286,0,0
113,1,26,1207.88,192,0,0
321,1,26,633.938,382,0,0
389,1,26,1523.81,192,0,0
421,1,26,279.75,483,0,0
1701104,1,26,417,230,0,0
1701187,1,26,683.438,2864,0,0
1701241,1,26,1727.06,1344,0,0
1701382,1,26,1493.62,152,0,0
1701424,1,26,1096.88,249,0,0
3325523,1,26,1665,1061,0,0
19,1,27,108,877,0,0
57,1,27,201.375,1518,0,0
169,1,27,803.062,100,0,0
176,1,27,396,164,0,0
189,1,27,108.375,94,0,0
321,1,27,617.625,300,0,0
389,1,27,468,210,0,0
421,1,27,412.5,447,0,0
1701187,1,27,33,170,0,0
1701241,1,27,1745.25,908,0,0
1701382,1,27,1449,152,0,0
1701424,1,27,949.688,216,0,0
1701442,1,27,755.812,138,0,0
19,1,28,150.562,876,0,0
238,1,28,190.312,633,0,0
421,1,28,299.438,1856,0,0
1701104,1,28,477.562,216,0,0
1701241,1,28,1765.69,613,0,0
1701382,1,28,1366.31,591,0,0
1701424,1,28,900.375,337,0,0
19,1,29,243.75,2174,0,0
238,1,29,374.438,574,0,0
349,1,29,1535.81,275,0,0
421,1,29,1765.5,1267,0,0
1701104,1,29,460.125,1273,0,0
1701241,1,29,1721.44,259,0,0
1701382,1,29,1377.38,729,0,0
1701393,1,29,804.562,146,0,0
1701424,1,29,1116.75,85,0,0
3325550,1,29,399.375,901,0,0
19,1,30,326.062,2261,0,0
57,1,30,768.938,128,0,0
145,1,30,50.8125,191,0,0
176,1,30,91.5,139,0,0
238,1,30,311.625,142,0,0
349,1,30,162,296,0,0
421,1,30,580.312,1544,0,0
1701104,1,30,378.375,1731,0,0
1701393,1,30,792,101,0,0
1701464,1,30,226.875,88,0,0
3325523,1,30,1717.12,239,0,0
3325550,1,30,307.875,2353,0,0
19,1,31,892.875,3378,0,0
57,1,31,353.25,107,0,0
89,1,31,281.062,83,0,0
176,1,31,90.1875,133,0,0
421,1,31,1098.38,736,0,0
1701104,1,31,459.188,1698,0,0
1701455,1,31,663.75,317,0,0
3325508,1,31,423.938,115,0,0
3325523,1,31,1764.94,200,0,0
3325550,1,31,410.25,2961,0,0
19,1,32,1067.62,1106,0,0
137,1,32,57.75,279,0,0
145,1,32,1639.5,298,0,0
229,1,32,430.125,762,0,0
421,1,32,1898.62,397,0,0
1701252,1,32,1535.81,219,0,0
1701393,1,32,453.188,83,0,0
1701455,1,32,713.812,391,0,0
3325550,1,32,393.562,2356,0,0
229,1,33,836.812,4195,0,0
321,1,33,664.875,300,0,0
1701252,1,33,1344.75,377,0,0
1701290,1,33,1403.06,560,0,0
1701393,1,33,1077.38,117,0,0
1701455,1,33,774,538,0,0
3325550,1,33,400.125,637,0,0
19,1,34,1145.44,2157,0,0
89,1,34,301.688,902,0,0
229,1,34,357.938,3012,0,0
245,1,34,1352.62,337,0,0
321,1,34,588.375,512,0,0
1701252,1,34,1398.75,652,0,0
1701455,1,34,687.188,462,0,0
19,1,35,1011.94,3333,0,0
46,1,35,531.562,148,0,0
229,1,35,1767.75,2907,0,0
1701252,1,35,1373.06,537,0,0
1701290,1,35,1286.81,1145,0,0
19,1,36,1048.88,2531,0,0
46,1,36,420.562,183,0,0
198,1,36,1031.25,1910,0,0
252,1,36,1619.06,199,0,0
333,1,36,1659.56,204,0,0
1701252,1,36,1356.94,508,0,0
19,1,37,1101,1489,0,0
46,1,37,409.125,199,0,0
198,1,37,1028.62,4288,0,0
252,1,37,1500,554,0,0
341,1,37,1377.38,142,0,0
333,1,37,1576.12,344,0,0
1701252,1,37,1618.88,89,0,0
1701290,1,37,1282.31,657,0,0
19,1,38,1135.69,1809,0,0
46,1,38,446.438,474,0,0
198,1,38,998.625,10691,0,0
341,1,38,1269,283,0,0
333,1,38,1612.12,282,0,0
1701182,1,38,722.25,318,0,0
198,1,39,999.938,9318,0,0
252,1,39,1497.75,209,0,0
341,1,39,180.188,274,0,0
333,1,39,1617.56,241,0,0
1701133,1,39,1480.69,92,0,0
1701182,1,39,514.312,903,0,0
46,1,40,427.125,270,0,0
57,1,40,1504.69,110,0,0
89,1,40,804.75,86,0,0
212,1,40,1531.88,416,0,0
291,1,40,420.188,85,0,0
341,1,40,180,334,0,0
333,1,40,1830.75,100,0,0
1701152,1,40,1886.06,149,0,0
1701182,1,40,444.75,418,0,0
3325647,1,40,732.562,517,0,0
46,1,41,83.625,987,0,0
57,1,41,635.812,105,0,0
176,1,41,1091.81,122,0,0
198,1,41,1189.31,101,0,0
212,1,41,711.188,976,0,0
341,1,41,131.25,260,0,0
1701182,1,41,519,232,0,0
1701290,1,41,1374.75,184,0,0
1701393,1,41,826.312,116,0,0
46,1,42,131.438,1101,0,0
176,1,42,231.188,122,0,0
212,1,42,63.9375,680,0,0
341,1,42,63.375,143,0,0
1701280,1,42,871.312,152,0,0
1701290,1,42,612,131,0,0
1701406,1,42,250.688,93,0,0
3325562,1,42,875.625,179,0,0
3325692,1,42,1167,110,0,0
46,1,43,132.188,735,0,0
89,1,43,611.812,91,0,0
176,1,43,231.75,116,0,0
212,1,43,63.1875,421,0,0
229,1,43,135.375,82,0,0
444,1,43,76.125,97,0,0
451,1,43,130.5,2196,0,0
1701090,1,43,376.688,98,0,0
3325562,1,43,519.75,100,0,0
389,2,0,1112.44,131,0,0
421,2,0,103.125,137,0,0
444,2,0,121.875,642,0,0
3325422,2,0,159.375,102,0,0
3325489,2,0,1717.69,281,0,0
3325589,2,0,395.812,145,0,0
137,2,1,428.625,108,0,0
270,2,1,1443.56,217,0,0
285,2,1,1902.75,86,0,0
